word,count
disaient,6418
aventure,6410
gauche,6405
hier,6404
moutons,6398
sujet,6395
minuit,6384
extraordinaire,6374
santé,6374
marier,6368
croyait,6364
sauvage,6364
corde,6357
vivait,6353
penser,6348
chacune,6344
visite,6339
papa,6337
moindre,6333
misérable,6329
entrée,6324
debout,6322
arrivant,6315
magique,6313
trésor,6305
voyons,6297
monseigneur,6272
connaître,6262
ellen,6243
dirai,6240
laissait,6237
éleva,6221
virent,6219
merveille,6193
soupe,6192
droite,6175
connaissait,6168
irai,6163
champs,6163
école,6158
resté,6147
arrivée,6144
cristal,6129
sentait,6126
aspect,6124
réponse,6115
épaule,6115
apprit,6110
inconnu,6103
signe,6100
compte,6099
soldat,6099
pense,6095
serpents,6090
guère,6065
époux,6064
souvenir,6061
chagrin,6060
chanter,6047
entendant,6039
voiture,6035
trône,6030
toucher,6026
emporta,6025
étang,6009
morceaux,5997
médecin,5991
davantage,5990
this,5985
fête,5979
biche,5979
personnes,5978
odeur,5973
coupe,5956
rencontre,5943
trouvaient,5942
demandez,5942
descendre,5941
cours,5934
musique,5933
méchante,5922
appris,5913
poulet,5900
longues,5890
cheminée,5889
comte,5888
curiosité,5888
crains,5883
remercia,5880
donnerai,5880
mets,5879
baba,5862
raconter,5860
semble,5857
facile,5857
fortune,5848
graines,5830
furieux,5818
trouvèrent,5810
aise,5809
combat,5805
étoile,5795
riant,5794
oreilles,5790
savant,5789
couteau,5783
étoiles,5777
murs,5766
vieilles,5757
horrible,5751
connais,5741
forces,5736
complètement,5735
baris,5734
yvonne,5734
fourmis,5731
pouvaient,5725
passèrent,5720
airs,5718
allaient,5712
prêtre,5710
sortes,5710
remettre,5705
hasard,5702
mouvement,5701
caverne,5698
réveilla,5694
jument,5688
jeux,5685
recevoir,5684
traits,5684
portant,5682
chemise,5679
nuage,5676
profond,5674
scrooge,5670
parlez,5658
embrassa,5658
vertu,5654
adressant,5654
distance,5641
mange,5637
aider,5636
sable,5632
chéri,5629
voleurs,5625
avis,5624
sifflet,5623
croyez,5622
posa,5617
immédiatement,5607
honte,5604
travailler,5601
retira,5599
vaches,5595
tendre,5595
retourne,5588
lion,5573
promit,5566
essayer,5557
char,5556
amie,5545
fées,5541
quinze,5523
malheureuse,5520
surpris,5513
courait,5511
midas,5510
magnifiques,5506
marcha,5486
passerose,5472
prison,5467
serez,5460
henri,5452
humeur,5444
ouverte,5435
plumes,5429
peuple,5428
seuil,5427
moine,5419
pourra,5411
merveilleuse,5406
nuits,5406
bourse,5402
désespoir,5398
sanglier,5370
accompagner,5365
basse,5363
jardinier,5361
vendre,5339
temple,5339
pareille,5339
pria,5334
espagne,5334
coucha,5332
également,5330
manquait,5329
agnella,5328
résolut,5326
magicienne,5324
vêtements,5322
lèvres,5319
nourriture,5316
branche,5308
commençait,5306
sombre,5304
cacher,5303
nourrice,5302
contraire,5300
entier,5298
écrièrent,5289
cadet,5286
foyer,5276
rêve,5268
signifie,5263
troupeau,5259
plaît,5254
embrasser,5250
enchanté,5240
vivement,5220
boîte,5218
licensed,5206
ulysse,5194
servir,5192
pégase,5187
persée,5184
perdit,5167
laissant,5159
conduire,5152
capable,5146
noire,5128
noce,5127
voleur,5121
danse,5119
doigts,5118
espoir,5116
pièce,5113
changer,5106
époque,5103
récit,5098
fruits,5097
comprendre,5095
prend,5093
martin,5090
paraît,5085
passant,5080
parle,5067
attendant,5058
disparu,5053
hiver,5049
bleue,5043
parfaitement,5043
simple,5040
made,5040
agréable,5037
hache,5036
aimable,5035
mine,5032
parlé,5020
demandèrent,5018
crier,5017
ennemi,5014
chèvre,5012
cacha,5002
soie,4993
hercule,4992
danger,4990
quelquefois,4986
chérie,4984
dehors,4977
suivante,4973
épreuve,4971
vive,4971
chaumière,4970
monarque,4960
ouvre,4952
lande,4947
festin,4946
extrémité,4944
désir,4941
remarqua,4928
montrer,4927
bonhomme,4925
taureau,4924
pleurant,4908
embarrassé,4906
répondre,4906
nain,4904
cyrille,4900
profonde,4891
court,4891
even,4888
échapper,4884
vouloir,4882
liberté,4877
chaise,4874
prirent,4874
sirène,4871
vieil,4867
condition,4863
charmante,4860
gris,4853
fasse,4840
verrons,4839
toilette,4839
exemple,4837
stories,4832
merle,4831
nommé,4825
repos,4819
courant,4811
perles,4810
entrèrent,4808
asseoir,4802
sauver,4801
tendrement,4796
auparavant,4795
seront,4788
espèce,4786
pattes,4783
hôte,4780
jésus,4779
général,4779
mangea,4772
roses,4771
étendit,4770
tourna,4763
noble,4757
autrement,4752
propos,4749
habit,4747
jetant,4747
tournant,4747
bœuf,4742
four,4741
domestique,4732
élança,4730
bonté,4723
viande,4723
pleurait,4719
cousin,4711
clair,4710
faute,4706
conseil,4704
objet,4697
bûcheron,4689
taille,4678
répond,4650
voyageurs,4649
appétit,4645
enchantée,4645
terreur,4644
aviez,4637
malo,4636
iouenn,4636
porta,4635
empressa,4635
cendrillon,4635
plaine,4634
naissance,4634
barbara,4632
visiter,4629
with,4621
fatigue,4617
pierrot,4615
œuvre,4613
drôle,4612
proserpine,4606
pandore,4606
vinrent,4605
lard,4605
train,4596
quoique,4594
sauvages,4586
présenter,4585
acheter,4584
collier,4583
terminé,4582
fenêtres,4578
marbre,4575
voyager,4571
reconnaissance,4571
voisine,4567
conversation,4565
répondait,4561
horreur,4549
cochon,4545
toile,4544
brillant,4536
habitants,4532
enfer,4532
nuages,4531
adieu,4531
certain,4527
digne,4525
jetèrent,4517
cornes,4517
chargé,4517
dirigea,4517
doaré,4514
lixur,4514
paille,4513
aînés,4512
désire,4511
cesse,4504
amener,4499
véritable,4496
sultan,4496
ordonna,4484
casse,4484
doré,4480
tombe,4472
expression,4468
arrivait,4460
dépit,4459
bergère,4459
rend,4458
jardins,4449
remède,4444
aimer,4443
admiration,4441
bleu,4439
précieux,4427
venaient,4426
prairie,4425
perroquet,4418
couper,4415
trésors,4412
couvert,4404
satyre,4396
robardic,4392
coathalec,4392
trégont,4392
demandé,4387
débarrasser,4386
écoute,4380
joues,4374
effroi,4369
barque,4368
auquel,4367
sujets,4360
bœufs,4359
camarade,4356
habile,4355
vain,4354
confiance,4353
valets,4350
fiancée,4343
rage,4341
laide,4338
offrit,4332
cavalier,4327
devez,4326
portier,4326
apercevoir,4323
gazon,4318
boules,4316
étonnée,4310
joue,4305
assise,4300
croix,4294
premiers,4284
arrêter,4277
sauvé,4275
tenter,4272
anneau,4270
objets,4268
jeannot,4266
lions,4261
estqu,4260
excellent,4259
caractère,4254
revenait,4253
aînée,4253
promptement,4234
full,4233
montrant,4232
arrière,4231
ancienne,4230
chante,4221
éveilla,4219
science,4203
murmura,4198
ventre,4181
membres,4180
font,4169
majesté,4163
montagnes,4163
battre,4163
rendait,4161
poils,4160
terms,4160
marâtre,4155
volonté,4152
envoyer,4152
immense,4150
passage,4145
précipita,4143
jusque,4142
embarras,4137
calme,4134
procurer,4134
ravageot,4128
efforts,4123
rayons,4123
entièrement,4122
léger,4122
enleva,4117
faible,4109
dames,4108
minon,4104
baiser,4104
poches,4103
espère,4103
eussent,4094
swarga,4092
chapelle,4091
cherche,4090
continuèrent,4082
retrouva,4074
course,4071
herbes,4062
changé,4062
lève,4061
conseiller,4061
sommet,4055
campagne,4054
arrivés,4054
morte,4053
connaissance,4053
désormais,4053
moineau,4049
puissance,4043
savaient,4043
diamant,4043
hutte,4042
vilain,4039
obscurité,4038
imbécile,4033
toit,4027
kerbrinic,4026
luduenn,4026
épervier,4023
écoutait,4019
revient,4018
coffre,4016
patte,4015
spectacle,4015
heureusement,4011
affreux,4009
reconnaître,4008
enchanteur,4008
armée,3998
chats,3996
fleuve,3992
moyens,3991
passaient,3991
jaune,3989
mouchoir,3987
ogre,3969
bhattacharya,3968
loups,3967
ferait,3966
sein,3965
apporte,3965
faudrait,3963
humaine,3962
exactement,3959
paire,3958
ermite,3957
pâle,3957
payer,3956
domestiques,3955
pouvant,3955
enlevé,3953
hospitalité,3947
image,3946
étable,3941
bride,3939
noms,3938
greystroke,3933
mémoire,3932
manquer,3929
apercevant,3929
entends,3927
trente,3927
monte,3925
envoyé,3922
déposa,3917
précisément,3910
défendu,3906
crampouès,3904
manque,3903
armes,3902
bonnet,3902
montrait,3901
mariée,3899
aimée,3897
essaya,3896
sinon,3893
perdrix,3892
peines,3891
fureur,3889
déjeuner,3888
storyweaver,3883
parfois,3883
libre,3882
frais,3882
sourit,3871
avenue,3867
lire,3865
atteindre,3864
hâte,3864
galop,3861
soudain,3858
profondément,3856
épouvantable,3855
rapidement,3853
moulin,3852
semblaient,3849
portrait,3849
promenait,3847
riait,3841
aperçurent,3839
apparence,3837
conduit,3831
unes,3831
remplir,3818
chaud,3811
ferez,3810
tristesse,3810
utile,3807
marmite,3807
délivrer,3806
aimé,3798
platform,3795
create,3795
messe,3790
expliquer,3790
rentrer,3790
poulain,3781
départ,3779
rouges,3776
charge,3774
garçons,3773
grenier,3772
différents,3770
veuve,3768
mettait,3764
reposer,3761
couché,3760
coupa,3756
direction,3756
troupe,3752
goût,3747
miroir,3747
papier,3745
avance,3740
emmena,3739
outre,3735
fatigué,3735
maisons,3728
blancs,3726
rappelle,3721
gagner,3717
guerre,3716
tonnerre,3715
traverser,3715
ordres,3715
conta,3706
ceinture,3703
bande,3701
endormit,3697
work,3693
pensez,3692
aventures,3686
pourras,3685
statue,3677
translated,3672
chevalier,3670
clefs,3670
voudrez,3668
demeurait,3660
tréguier,3660
